bestWay_CROSS,vessels,veins,arteries
mean,0.821,0.788,0.746
std,0.001,0.003,0.005

bestWay_DRIVE_RETA,vessels,veins,arteries
mean,0.813,0.783,0.729
std,0.004,0.001,0.006

bestWay_DUALMODAL2019,vessels,veins,arteries
mean,0.83,0.813,0.775
std,0.005,0.001,0.006

bestWay_HRF,vessels,veins,arteries
mean,0.81,0.775,0.738
std,0.001,0.006,0.007

bestWay_LESAV,vessels,veins,arteries
mean,0.855,0.792,0.767
std,0.005,0.011,0.013

bnTrain_CROSS,vessels,veins,arteries
mean,0.765,0.677,0.626
std,0.003,0.012,0.017

bnTrain_DRIVE_RETA,vessels,veins,arteries
mean,0.783,0.702,0.613
std,0.014,0.019,0.036

bnTrain_DUALMODAL2019,vessels,veins,arteries
mean,0.74,0.647,0.688
std,0.015,0.033,0.01

bnTrain_HRF,vessels,veins,arteries
mean,0.757,0.675,0.606
std,0.004,0.022,0.055

bnTrain_LESAV,vessels,veins,arteries
mean,0.786,0.674,0.618
std,0.021,0.085,0.042

